Legislation Number,Title,Sponsor,Date of Introduction
H.R. 374,"To remove the sunset provision of section 203 of Public Law 105-384, and for other purposes.","Herrera Beutler, Jaime [Rep.-R-WA-3]",01/09/2017
H.R. 366,DHS SAVE Act,"Perry, Scott [Rep.-R-PA-4]",01/06/2017
H.R. 353,Weather Research and Forecasting Innovation Act of 2017,"Lucas, Frank D. [Rep.-R-OK-3]",01/06/2017
H.R. 339,Northern Mariana Islands Economic Expansion Act,"Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]",01/05/2017
H.R. 321,"Inspiring the Next Space Pioneers, Innovators, Researchers, and Explorers (INSPIRE) Women Act","Comstock, Barbara [Rep.-R-VA-10]",01/05/2017
H.R. 315,Improving Access to Maternity Care Act,"Burgess, Michael C. [Rep.-R-TX-26]",01/05/2017
H.R. 304,Protecting Patient Access to Emergency Medications Act of 2017,"Hudson, Richard [Rep.-R-NC-8]",01/05/2017
H.R. 302,FAA Reauthorization Act of 2018,"Guthrie, Brett [Rep.-R-KY-2]",01/05/2017
H.R. 294,"To designate the facility of the United States Postal Service located at 2700 Cullen Boulevard in Pearland, Texas, as the ""Endy Nddiobong Ekpanya Post Office Building"".","Olson, Pete [Rep.-R-TX-22]",01/05/2017
H.R. 274,Modernizing Government Travel Act,"Moulton, Seth [Rep.-D-MA-6]",01/04/2017
H.R. 267,"Martin Luther King, Jr. National Historical Park Act of 2017","Lewis, John [Rep.-D-GA-5]",01/04/2017
H.R. 255,Promoting Women in Entrepreneurship Act,"Esty, Elizabeth H. [Rep.-D-CT-5]",01/04/2017
H.R. 244,"Consolidated Appropriations Act, 2017","Cook, Paul [Rep.-R-CA-8]",01/04/2017
H.R. 228,"Indian Employment, Training and Related Services Consolidation Act of 2017","Young, Don [Rep.-R-AK-At Large]",01/03/2017
H.R. 220,"To authorize the expansion of an existing hydroelectric project, and for other purposes.","Young, Don [Rep.-R-AK-At Large]",01/03/2017
H.R. 219,Swan Lake Hydroelectric Project Boundary Correction Act,"Young, Don [Rep.-R-AK-At Large]",01/03/2017
H.R. 195,"Making further continuing appropriations for the fiscal year ending September 30, 2018, and for other purposes.","Russell, Steve [Rep.-R-OK-5]",01/03/2017
H.R. 194,Federal Agency Mail Management Act of 2017,"Russell, Steve [Rep.-R-OK-5]",01/03/2017
H.R. 72,GAO Access and Oversight Act of 2017,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",01/03/2017
H.R. 46,Fort Ontario Study Act,"Katko, John [Rep.-R-NY-24]",01/03/2017
H.R. 39,TALENT Act of 2017,"McCarthy, Kevin [Rep.-R-CA-23]",01/03/2017
H.R. 6,Substance Use-Disorder Prevention that Promotes Opioid Recovery and Treatment for Patients and Communities Act,"Walden, Greg [Rep.-R-OR-2]",06/13/2018
H.R. 2,Agriculture Improvement Act of 2018,"Conaway, K. Michael [Rep.-R-TX-11]",04/12/2018
H.R. 1,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,"Brady, Kevin [Rep.-R-TX-8]",11/02/2017
H.J.Res. 143,"Making further continuing appropriations for fiscal year 2019, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",12/03/2018
H.J.Res. 123,"Making further continuing appropriations for fiscal year 2018, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",12/04/2017
H.J.Res. 111,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Arbitration Agreements"".","Rothfus, Keith J. [Rep.-R-PA-12]",07/20/2017
H.J.Res. 99,"Making further continuing appropriations for fiscal year 2017, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",04/26/2017
H.J.Res. 83,"Disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness"".","Byrne, Bradley [Rep.-R-AL-1]",02/21/2017
H.J.Res. 76,"Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to enter into a compact relating to the establishment of the Washington Metrorail Safety Commission.","Hoyer, Steny H. [Rep.-D-MD-5]",02/16/2017
H.J.Res. 69,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".","Young, Don [Rep.-R-AK-At Large]",02/07/2017
H.J.Res. 67,Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,"Rooney, Francis [Rep.-R-FL-19]",02/07/2017
H.J.Res. 66,Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,"Walberg, Tim [Rep.-R-MI-7]",02/07/2017
H.J.Res. 58,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.","Guthrie, Brett [Rep.-R-KY-2]",02/01/2017
H.J.Res. 57,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.","Rokita, Todd [Rep.-R-IN-4]",02/01/2017
H.J.Res. 44,"Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.","Cheney, Liz [Rep.-R-WY-At Large]",01/30/2017
H.J.Res. 43,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.","Black, Diane [Rep.-R-TN-6]",01/30/2017
H.J.Res. 42,Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,"Brady, Kevin [Rep.-R-TX-8]",01/30/2017
H.J.Res. 41,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".","Huizenga, Bill [Rep.-R-MI-2]",01/30/2017
H.J.Res. 40,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.","Johnson, Sam [Rep.-R-TX-3]",01/30/2017
H.J.Res. 38,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,"Johnson, Bill [Rep.-R-OH-6]",01/30/2017
H.J.Res. 37,"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.","Foxx, Virginia [Rep.-R-NC-5]",01/30/2017
S. 3777,Forever GI Bill Housing Payment Fulfillment Act of 2018,"Boozman, John [Sen.-R-AR]",12/18/2018
S. 3749,Congressional Accountability Act of 1995 Reform Act,"Klobuchar, Amy [Sen.-D-MN]",12/13/2018
S. 3661,75th Anniversary of World War II Commemoration Act,"Inhofe, James M. [Sen.-R-OK]",11/27/2018
S. 3628,National Flood Insurance Program Extension Act,"Kennedy, John [Sen.-R-LA]",11/15/2018
S. 3554,A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.,"Kennedy, John [Sen.-R-LA]",10/05/2018
S. 3530,Museum and Library Services Act of 2018,"Reed, Jack [Sen.-D-RI]",09/28/2018
S. 3509,Congressional Award Program Reauthorization Act of 2018,"Enzi, Michael B. [Sen.-R-WY]",09/26/2018
S. 3508,Save Our Seas Act of 2018,"Sullivan, Dan [Sen.-R-AK]",09/26/2018
S. 3479,Department of Veterans Affairs Expiring Authorities Act of 2018,"Isakson, Johnny [Sen.-R-GA]",09/18/2018
S. 3456,"A bill to redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes.","Nelson, Bill [Sen.-D-FL]",09/18/2018
S. 3444,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Lake Charles, Louisiana, as the ""Douglas Fournet Department of Veterans Affairs Clinic"".","Cassidy, Bill [Sen.-R-LA]",09/17/2018
S. 3442,"A bill to designate the facility of the United States Postal Service located at 105 Duff Street in Macon, Missouri, as the ""Arla W. Harrell Post Office"".","McCaskill, Claire [Sen.-D-MO]",09/17/2018
S. 3414,"A bill to designate the facility of the United States Postal Service located at 20 Ferry Road in Saunderstown, Rhode Island, as the ""Captain Matthew J. August Post Office"".","Reed, Jack [Sen.-D-RI]",09/06/2018
S. 3389,A bill to redesignate a facility of the National Aeronautics and Space Administration.,"Capito, Shelley Moore [Sen.-R-WV]",08/27/2018
S. 3367,Department of Transportation Reports Harmonization Act,"Thune, John [Sen.-R-SD]",08/22/2018
S. 3354,Missing Children's Assistance Act of 2018,"Grassley, Chuck [Sen.-R-IA]",08/16/2018
S. 3247,Women's Entrepreneurship and Economic Empowerment Act of 2018,"Boozman, John [Sen.-R-AR]",07/19/2018
S. 3237,"A bill to designate the facility of the United States Postal Service located at 120 12th Street Lobby in Columbus, Georgia, as the ""Richard W. Williams, Jr., Chapter of the Triple Nickles (555th P.I.A.) Post Office"".","Perdue, David [Sen.-R-GA]",07/18/2018
S. 3209,"A bill to designate the facility of the United States Postal Service located at 413 Washington Avenue in Belleville, New Jersey, as the ""Private Henry Svehla Post Office Building"".","Menendez, Robert [Sen.-D-NJ]",07/12/2018
S. 3191,Civil Rights Cold Case Records Collection Act of 2018,"Jones, Doug [Sen.-D-AL]",07/10/2018
S. 3170,CyberTipline Modernization Act of 2018,"Cornyn, John [Sen.-R-TX]",06/28/2018
S. 3119,Endangered Salmon Predation Prevention Act,"Risch, James E. [Sen.-R-ID]",06/21/2018
S. 3031,Federal Personal Property Management Act of 2018,"Peters, Gary C. [Sen.-D-MI]",06/07/2018
S. 3029,PREEMIE Reauthorization Act of 2018,"Alexander, Lamar [Sen.-R-TN]",06/07/2018
S. 3021,America's Water Infrastructure Act of 2018,"Klobuchar, Amy [Sen.-D-MN]",06/07/2018
S. 2961,Victims of Child Abuse Act Reauthorization Act of 2018,"Blunt, Roy [Sen.-R-MO]",05/24/2018
S. 2946,Anti-Terrorism Clarification Act of 2018,"Grassley, Chuck [Sen.-R-IA]",05/24/2018
S. 2896,Justice Against Corruption on K Street Act of 2018,"Kennedy, John [Sen.-R-LA]",05/22/2018
S. 2850,A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund.,"Flake, Jeff [Sen.-R-AZ]",05/15/2018
S. 2779,Zimbabwe Democracy and Economic Recovery Amendment Act of 2018,"Flake, Jeff [Sen.-R-AZ]",04/26/2018
S. 2765,RBIC Advisers Relief Act of 2018,"Kennedy, John [Sen.-R-LA]",04/26/2018
S. 2736,Asia Reassurance Initiative Act of 2018,"Gardner, Cory [Sen.-R-CO]",04/24/2018
S. 2734,"A bill to designate the Federal building and United States courthouse located at 1300 Victoria Street in Laredo, Texas, as the ""George P. Kazen Federal Building and United States Courthouse"".","Cornyn, John [Sen.-R-TX]",04/24/2018
S. 2692,"A bill to designate the facility of the United States Postal Service located at 4558 Broadway in New York, New York, as the ""Stanley Michels Post Office Building"".","Gillibrand, Kirsten E. [Sen.-D-NY]",04/18/2018
S. 2679,Veterans Small Business Enhancement Act of 2018,"Duckworth, Tammy [Sen.-D-IL]",04/16/2018
S. 2652,Stephen Michael Gleason Congressional Gold Medal Act,"Cassidy, Bill [Sen.-R-LA]",04/11/2018
S. 2559,Marrakesh Treaty Implementation Act,"Grassley, Chuck [Sen.-R-IA]",03/15/2018
S. 2554,Patient Right to Know Drug Prices Act,"Collins, Susan M. [Sen.-R-ME]",03/14/2018
S. 2553,Know the Lowest Price Act of 2018,"Stabenow, Debbie [Sen.-D-MI]",03/14/2018
S. 2511,CENOTE Act of 2018,"Wicker, Roger F. [Sen.-R-MS]",03/07/2018
S. 2465,"Sickle Cell Disease and Other Heritable Blood Disorders Research, Surveillance, Prevention, and Treatment Act of 2018","Scott, Tim [Sen.-R-SC]",02/28/2018
S. 2377,"A bill to designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the ""Walter H. Rice Federal Building and United States Courthouse"".","Brown, Sherrod [Sen.-D-OH]",02/06/2018
S. 2372,VA MISSION Act of 2018,"Isakson, Johnny [Sen.-R-GA]",02/05/2018
S. 2278,State Offices of Rural Health Reauthorization Act of 2018,"Roberts, Pat [Sen.-R-KS]",01/04/2018
S. 2276,GAO-IG Act,"Young, Todd [Sen.-R-IN]",01/04/2018
S. 2273,A bill to extend the period during which vessels that are shorter than 79 feet in length and fishing vessels are not required to have a permit for discharges incidental to the normal operation of the vessel.,"Sullivan, Dan [Sen.-R-AK]",12/21/2017
S. 2269,Global Food Security Reauthorization Act of 2017,"Casey, Robert P., Jr. [Sen.-D-PA]",12/21/2017
S. 2248,Veterans Benefits and Transition Act of 2018,"Tester, Jon [Sen.-D-MT]",12/19/2017
S. 2246,"A bill to designate the health care center of the Department of Veterans Affairs in Tallahassee, Florida, as the Sergeant Ernest I. ""Boots"" Thomas VA Clinic, and for other purposes.","Nelson, Bill [Sen.-D-FL]",12/19/2017
S. 2245,KIWI Act,"Hirono, Mazie K. [Sen.-D-HI]",12/18/2017
S. 2200,National Integrated Drought Information System Reauthorization Act of 2018,"Thune, John [Sen.-R-SD]",12/06/2017
S. 2155,"Economic Growth, Regulatory Relief, and Consumer Protection Act","Crapo, Mike [Sen.-R-ID]",11/16/2017
S. 2152,"Amy, Vicky, and Andy Child Pornography Victim Assistance Act of 2018","Hatch, Orrin G. [Sen.-R-UT]",11/16/2017
S. 2101,USS Indianapolis Congressional Gold Medal Act,"Donnelly, Joe [Sen.-D-IN]",11/08/2017
S. 2076,BOLD Infrastructure for Alzheimer's Act,"Collins, Susan M. [Sen.-R-ME]",11/06/2017
S. 2074,"A bill to establish a procedure for the conveyance of certain Federal property around the Jamestown Reservoir in the State of North Dakota, and for other purposes.","Hoeven, John [Sen.-R-ND]",11/02/2017
S. 2040,"A bill to designate the facility of the United States Postal Service located at 621 Kansas Avenue in Atchison, Kansas, as the ""Amelia Earhart Post Office Building"".","Roberts, Pat [Sen.-R-KS]",10/31/2017
S. 2030,Ceiling Fan Energy Conservation Harmonization Act,"Tillis, Thomas [Sen.-R-NC]",10/30/2017
S. 1869,Whistleblower Protection Coordination Act,"Grassley, Chuck [Sen.-R-IA]",09/27/2017
S. 1866,"Hurricanes Harvey, Irma, and Maria Education Relief Act of 2017","Alexander, Lamar [Sen.-R-TN]",09/26/2017
S. 1862,Trafficking Victims Protection Reauthorization Act of 2017,"Corker, Bob [Sen.-R-TN]",09/26/2017
S. 1768,National Earthquake Hazards Reduction Program Reauthorization Act of 2018,"Feinstein, Dianne [Sen.-D-CA]",09/06/2017
S. 1766,SAFER Act of 2017,"Cornyn, John [Sen.-R-TX]",09/06/2017
S. 1668,"A bill to rename a waterway in the State of New York as the ""Joseph Sanford Jr. Channel"".","Schumer, Charles E. [Sen.-D-NY]",07/27/2017
S. 1617,"Javier Vega, Jr. Memorial Act of 2017","Cornyn, John [Sen.-R-TX]",07/24/2017
S. 1616,Bob Dole Congressional Gold Medal Act,"Roberts, Pat [Sen.-R-KS]",07/24/2017
S. 1595,Hizballah International Financing Prevention Amendments Act of 2018,"Rubio, Marco [Sen.-R-FL]",07/20/2017
S. 1580,Protecting Girls' Access to Education in Vulnerable Settings Act,"Rubio, Marco [Sen.-R-FL]",07/19/2017
S. 1536,Combating Human Trafficking in Commercial Vehicles Act,"Klobuchar, Amy [Sen.-D-MN]",07/12/2017
S. 1532,No Human Trafficking on Our Roads Act,"Thune, John [Sen.-R-SD]",07/12/2017
S. 1520,Modernizing Recreational Fisheries Management Act of 2018,"Wicker, Roger F. [Sen.-R-MS]",07/10/2017
S. 1438,Gateway Arch National Park Designation Act,"Blunt, Roy [Sen.-R-MO]",06/26/2017
S. 1393,Jobs for Our Heroes Act,"Cornyn, John [Sen.-R-TX]",06/21/2017
S. 1312,Trafficking Victims Protection Act of 2017,"Grassley, Chuck [Sen.-R-IA]",06/07/2017
S. 1311,Abolish Human Trafficking Act of 2017,"Cornyn, John [Sen.-R-TX]",06/07/2017
S. 1285,Oregon Tribal Economic Development Act,"Merkley, Jeff [Sen.-D-OR]",05/25/2017
S. 1282,A bill to redesignate certain clinics of the Department of Veterans Affairs located in Montana.,"Daines, Steve [Sen.-R-MT]",05/25/2017
S. 1266,Enhancing Veteran Care Act,"Inhofe, James M. [Sen.-R-OK]",05/25/2017
S. 1182,National Flood Insurance Program Extension Act of 2018,"Young, Todd [Sen.-R-IN]",05/18/2017
S. 1158,Elie Wiesel Genocide and Atrocities Prevention Act of 2018,"Cardin, Benjamin L. [Sen.-D-MD]",05/17/2017
S. 1141,"Women, Peace, and Security Act of 2017","Shaheen, Jeanne [Sen.-D-NH]",05/16/2017
S. 1094,Department of Veterans Affairs Accountability and Whistleblower Protection Act of 2017,"Rubio, Marco [Sen.-R-FL]",05/11/2017
